airline_sentiment,text
negative, I just submitted feedback for you @gripeo. Not a good way 2 handle baggage or customers: http://t.co/F6COpX1Fvj
positive, @T5Sparrow Love it. They're cute
neutral, There's a large family of birds inside T5. Are they fed? Are they there for a purpose?
neutral, sure thing!
neutral, works with Google #chrome but not Internet Explorer.
negative," I was believing you for a minute, but we just got delayed for a 3rd time!"
neutral," If there's a schedule change on my tix, can you change the the destination airport to a sister airport (like EWR and JFK)?"
negative,@Jetblue Delay = Perfect time to learn Swift programming with @TeamTreehouse
neutral, Statement on #Lufthansa Incentive Offer - Digital Journal http://t.co/GqP69g9ZGW
positive, the best airline in the world
positive, I would go anywhere JetBlue goes.
neutral, ANYWHERE!! http://t.co/FeFHPmFPlE
positive, wow you guys answer people wow you care I love jet blue
positive, thanks. I appreciate your prompt response.
negative," I put it my ""to"" and ""from"" airports, click update and it tells me to put in my ""to"" and ""from"" airports."
negative," Why doesn't your ""Best Fare Finder"" work?"
neutral, To DC this summer and help local youth get ready to return to school with math refresher courses. #FlyItForward
positive, good luck. Thanks.
negative, third JetBlue flight in less than a week. All Late Flight not for weather.  Reliability going downhill.
neutral, I have many allergies and want to know if I can bring an 8oz. bottle of Benadryl on the flight along with my 2 epipens?
negative, This is how you have me feeling.... http://t.co/esUu0hiAjM
negative, why is the buffalo flight so Late Flight?
neutral,  anywhere... away from this snow globe to warmth sand and palm trees..
negative, u suck Big Donkey Balls!
neutral, any good deals for March?! Looking to fly to Orlando!
positive," if I tell you I like that @warriors pick, will that get me that bump to first class? :)"
neutral, #jetblue #sofly #wish #firststari seetonight http://t.co/pyJAoayNx6
negative,@jetblue waiting for flt 105 to Chicago. Why hasn't aircraft left buffalo yet?
negative, I don't think I'll be testing those waters out on my own dime again.
negative, C'mon now. My flight's delayed annnnnd you can't give me a pick?!? I'm about to tweet at @united or @Delta .......
negative, Flight is 100% full.
neutral, client is asking if kids need their own email addresses to get TB acct. Is this true?
negative, Walked down the hall to Carousel 8...found all bags sitting there. Still no words from crew...signage still not updated
negative, Headphone jack not working on my flight.
neutral," It's absolute madness in the west, but tell me who you like between @memgrizz @warriors @spurs and @okcthunder"
negative, Tried...considerable confusion...no announcement...no sign updates
negative, #JetBlueBOS What's up with luggage for Flt 790 DCA-BOS?  Pax waiting for 30 min for bags...no show. Carousel 6 signs not updating.
neutral," Thx for the pointer, but Im good with the big monitor.  Any advice on who I should pick to come our of the Western Conf (NBA)?"
negative, I had 2 fight 2 get a credit for the value of my bag but I got it. #skytrax #jetblue #corpgreed #nevertakeno http://t.co/6MBVJFlpBM
neutral, Airways Corporation (JBLU) loses -0.06% on news that  Airways ... - WallStreet Scope http://t.co/oFW4A8b5WS
negative, They did not have any &amp; asked if I wanted tea. How do you have tea&amp;not coffee? I'm a gold on United &amp; coffee I nvr think 2x about
negative, : ur Wed BWI-BOSTON flights (8pm) really need to be better scheduled! They are almost always delayed!
positive, I'll pass along the advice. You guys rock!!
negative, I'd fly to an airline who actually gave a crap about its fliers outside of generic apologies. Jet Blue is terrible #jetblue
neutral, 6am Austin to JFK
negative, the big board says we aren't leaving until after 8:30 😩
neutral, he's sch for 530 tmw on AA. would love to find him an earlier one with yall if possible. He's in FLL
negative, while I appreciate that you actually responded I travel way too much for you to tell me coffee is not a basic option
negative,", my dads vacation to SXM got delayed a day because of @AmericanAir shoddy service. Earliest FLL &gt; SXM flight? trying to hep him out"
negative, I did not report the updated info - don't know how to reach them without a super long wait on hold at your main number.
positive," I can't say what airline I am on right now, but I sincerely miss you. #bestairline"
negative, Whoa! No tag and you still saw my tweet. Flight 105 JFK to Chicago. Trying to get home to see my little brother wrestle!
neutral, Airways Corporation Price Target Update - Stafford Daily http://t.co/vQmdmZaFUJ
neutral, I would go to Italy to visit my relatives and see the house my dad left when he passed.
neutral, I'd go to Australia to enjoy the land down under! Always been on my bucket list! #FlyingItForward
neutral, hi! Is it possible to upgrade to a Mint seat on an already booked ticket? Thanks!
neutral," Left my coat on flight 453 this morning in overhead bin.  Reported seat 12A, but I was 11A.  Thx.  Ticket 2792125083854"
neutral, my daughter's college game in Denver.  Only one set of parents will be there 😢😢😢
positive, ok. I'll book JB to JFK then book to ATH. Thank you.
neutral, need flight to ATH from PDX. Do you coordinate with other airlines?
negative, so why do you put this at the bottom of ur baggage report? For fun? #JetBlue @airlinequality #skytrax http://t.co/tU9JX2jaZN
negative," if u want to be helpful save me the trip from Westchester Cty to JFK, plus parking - my info is in the photo http://t.co/JI7xkS2jkk"
positive, Yes That's true but they are a bit pricey I will look into it further. Love you guys.
negative, I am heading to JFK now just on principle alone to deal w my lost &amp; damaged bag. #jetblue #jetbluesucks #jfk #badservice #fail
negative, u now have my gears grinding. The JFK baggage office told me I need to bring the bag back right now if not they will close my claim
neutral, do you sell open tickets? I have a sick relative and may have to travel at a moments notice. Sad but true.
positive," I flew to San Francisco from Fort Lauderdale with you last year, had a fantastic time so would like to go back !"
negative, U say our safety is our highest priority but that doesn't extend 2 our property? This is totally nuts. http://t.co/xZY7pHKFGR
neutral, to allow payment by #Apple Pay - Patriarc http://t.co/bdUaUZFhW2
positive," My #FlyingItForward affects just one small family of four, but it would make a huge difference in their life."
negative, glad u happy I have my bag but as a traveler I entrusted u w/ my property &amp; u return it damaged &amp; that's the best answer u have?
neutral," I'd go to Portsmouth, NH to take care of my friend's son while she takes her daughter to Boston for surgery.  #flyingitforward"
negative, is the worst. I have to postpone my trip and they can't accommodate guests like @SouthwestAir #NeverAgain
positive, Hawaii! Get me somewhere warm &amp; I can find some good to do. #FlyItForward
positive,". thx for confirming! Again, yr team is awesome. Thanks for the prompt &amp; helpful response! Cheers to less snow in everyone's future"
negative, PR-friendly tweets don't help drive accountability. Hope Mr. Hayes takes note.
positive, What a great idea! #cometoAustin
positive, I would go to Las Vegas. It is gorgeous and I go there every year and I fly with you guys Vegas is gorgeous &amp; so much to do there.🌴
neutral," I like Marie Harf go to Iraiq find ISIS and spread good, and offer resume service to ISIS in order to find jobs @marieharf"
neutral," #FlyingItForward I'd fly to Port au Prince, Haiti to help with the on-going earthquake relief efforts. Still lots to do there!"
positive, just DMed. thanks so much for addressing this so quickly.
positive, Done! Also looks like you opened some up on my flight to Vegas on Sunday! 💙
neutral, Says #Lufthansa Incentive Offer To Have No Impact On Share Count - Nasdaq http://t.co/VU7XSWJKiY
negative, Only wish your ground operation was as expedient as your Twitter response team! Delay just got extended!
negative, only w/ $70 upgrade. Unsure why she can't just switch someone around. I called 24 hrs in advance for this reason.
neutral, can you DM?
negative, keeps asking me to enter a valid email address. My info is saved and has worked hundreds of times before
neutral, is the trueblue site broken at the moment?
neutral, Any EMS window seats on 1099 tomorrow?
neutral, Airways Corporation Registers High Short Interest - Wall Street Pulse http://t.co/hXSnv7fbbh
neutral, any chance you will by this summer?
neutral, do you have mint service from NYC to San Diego?
negative, can't change it. True blue points and I can't get to a phone
neutral," my mom wanted me to change her seat along with my sister, but their two different reservations and idk"
positive, Aw okay thanks
neutral, I can't pay 30 bucks xD
positive, BEST SEAT ON A E190 to board early. READY. SET. GO!
neutral, is it true there's a new A320 livery and a new website...?!
negative, should've been on one of your flights instead... @SouthwestAir has now lost our bags to add insult to injury
negative, I'm trying to add my 2012 flights to my Badges account but i don't see an option. Help plz?
positive, okay. The new screens are laptop-large &amp; real nice &amp; the wifi is appreciated. Thanks god for this tiny lil man in the middle seat.
negative," I cheated on you, and I'm sorry. I'll never do it again. @SouthwestAir has given my wife and I the worst start to a honeymoon ever"
neutral, this feels nice - what we've got going on here. Let's just swap me out with the fool in 5a and we can make it all better.
neutral," yes, but it hurt my feelings to walk by MINT. A fella can dream. #happy4them"
neutral, @pilyoc dont talk about my friend  like that. #thefutureisweird
positive," incidentally, Sheila at JFK deserves a raise because she's awesome."
neutral," I'd like to spread my grandpa's ashes in Naples, Italy he lived in the 50's while serving his 30+ yrs in the @USNavy #FlyItForward"
positive, i deleted that tweet because one of your wonderful employees swooped in to help--faith restored. You are one of the good ones. 👍
neutral, Statement on #Lufthansa Incentive Offer - Stockhouse http://t.co/obF9jbPc6A
negative, lots of people scratching heads and looking at screens ignoring passengers
neutral, I thought the same thing after I sent it
negative, what's going on with 1171 LGA-FLL..poor to no communication from gate agents??
negative," FYI - your android app is set to not be applicable with the Nexus 6 - please fix (its a phone, not a tablet). Cheers!"
neutral, Thanks for the FB. message telling me I will have to wait between 1-3 days.  I'm waiting.
neutral, Airways Sees Significant Decline in Short Interest (JBLU) - WKRB News http://t.co/lZFGUTxIYN
neutral," plans to offer direct flights from #JFK to #DaytonaBeach, #Florida starting next #February.… http://t.co/oYLlRZQU5m"
neutral, Thank you for opening the conversation.  I hope you can make it right.
neutral, When I checked yesterday it looked like it did. Did something change?
negative, Oh no! I thought it did. :(
neutral,'s CEO battles to appease passengers and Wall Street - Waterbury Republican American http://t.co/5t4FpCGREJ
neutral, 1951 BOS to ORD
positive, thanks. Line moved quick. Already done.
neutral, I do follow you!
negative, nope. None to be found
negative, I may need to. I had a 40 minute layover and now have a 15 min delay on my first flight.
negative," I may not make my connection and need to find out my options, yet no one is here."
neutral, nope. Currently sitting at my gate.
positive, their names are both Angel (seriously - how cool is that!). Truly FANTASTIC service!
negative, extra-speed line closed in Tampa. What gives?
neutral, I sent you an email
positive," also. Emergency exit seats. 6'2"" and that's a huge win."
positive," friendly, engaging, personable, handled clarifying questions about baggage fees well, and took an interest in what I was doing."
neutral, so I don't know confirmation number or the names of the flight attendants and supervisor
negative, would love to respond to link but supervisor tore ticket up and refused to give me names and hid her badge from me
positive," hey, so, Dre at Seatac check in needs a raise, stat. Dude gave me amazing customer service and made me feel valued. 👍"
negative, you respond to my friend @LisaPal but you can't respond directly to me
neutral,"'s CEO #pilots among ardent fans, Wall Street - Poughkeepsie Journal http://t.co/FRhuXiB8II"
positive, The Magic eight ball has never steered me wrong  :)
negative, you wanna help out? How about you reimburse the money you cause my band to lose.
negative, but you guys should know that musicians are very sensitive about the safety of their instruments when flying. For good reason.
negative, ask @j_beatz247 but I teach marketing at a university and will gladly consult on customer service and how NOT to treat passengers.
negative, loves to respond to positive tweets but they ignore problems w/ customers. Just ask NOLA musician @j_beatz247 about that. #shameful
neutral,  I'm game if you're buying!!  ;)
positive, Will do. Thanks!
positive," marks 15th year with new ""Bluemanity"" plane design - Sun Sentinel http://t.co/SjVEelween"
negative, Call was not made by the inflight crew. They in fact asked us why we didn't bring it on.
negative, last week I bought a plane ticket round trip to FL &amp; just 4 fun I look at the price of them today and they went down! #nothappy
positive, you're welcome 👍👍👍 http://t.co/67k4N9eQ6E
neutral, are you ever looking for interns ?
positive, is the greatest airline ever 💕✈️💺 #TrueBluePoints #jetbluemember
negative, Only middle seats. SFO -&gt; BOS. Not fun. She keeps getting $10 credits. Would much rather have a working TV.
negative, Disappointed we weren't allowed to bring on an aircraft approved carseat on an empty plane. Not cool.
positive, Beatriz and Susan. Gate 4 MCO.
positive,. handled @0xjared's question like social media pros. Good practice for when our transportation systems are all run by friendly AIs!
negative, maybe have a supervisor find out why the international checkin at FTL hasn't moved in 20 minutes yet employees picked up 100 pizza
negative, Third flight in a row for my wife with her TV not working...
positive, its a wonderful thing!
negative, what is a personal email that I can contact? I have a complaint that you should know about
negative, WHAT'S UP WITH WEBSITE CAN'T ACCESS FLIGHT INFO
neutral, Just a thought!
positive, Flight Booking Problems flights for a DC visit for Easter weekend started difficult but ended well with you guys! Big fan here. :)
neutral, I’m getting an “it depends” vibe. Fair enough!
positive, #flyfi thank you! Seattle and #UDUB here we come! @cameron__roe http://t.co/kbHYM5GkAP
positive, @Cayman_Islands  I know that bar :)  Wish I was there now!
positive, had a great flight to Orlando from Hartford a few weeks ago! Was great to get out on time and arrive early!
neutral, to Increase Charter Service to Cuba - #Travel Agent http://t.co/lYQrb4HCYU
positive, you guys continue to impress. Your crew @ MCO gate 4helped our family with seat issues. #professional
positive, loving the free #wifi and #legroom ✈️ #SeattleBound
negative," you are missing the point. The flight left an hour Late Flight. Why are you allowed to be that Late Flight, and still charge me $50 and 10hrs?"
neutral, can I get some more leg room tonight B6 304
negative, 2nd time flying jetblue this year and my armrest TV controller doesn't work agian!!and that's the main reason I fly jetblue 😔😓😤
negative,"It's on me, ! That's not what you said last night, though... :("
negative, @Cinnabon the two of you should team up to serve cinnabons on the flights!!!! #BonsInTheSky
positive, anything for you. #flyfi http://t.co/8jceDiKY9U
negative, hey you guys remembered lol! But now my BOS flights delayed... And turn the heat down in T5 it feels hotter than PR.
neutral, Celebrates 15-Year Anniversary With New Livery - @CNNMoney http://t.co/p7skxZVe1A
negative," spoken to 2 reps. Once I'm allowed to check my bag and through the TSA checkpoint, I guarantee I will be talking to someone."
negative, and the 20min line I stood in to drop my bag off?
positive, credit to you for replying.  I’ll look forward to hopefully one of those 103 on my flight home tonight :)
positive," Great flight, as always! Thank you to the great crew on flight 475! #travel #jetblue"
negative," got txt  40min after sched dpt, saying plane had just arrived @ JFK. Late Flightr txt w/ dpt gate change. Then 9:04 dpt for 7:40 flight."
negative, I was not allowed to drop my bag off for my flight that I was running 10min Late Flight for. Turns out it left over an hour Late Flight.
positive, you're killing me now. :-) You got me! #smitten #trueblue
negative, my son left his iPad on flight 1401 from JFK to FLL on Monday. I called and left message and have no heard back. Seat 25A.
positive,. 4 min response time. I'm impressed! I'm in. It's official.  :-) #trueblue  JetBlue gets social.
positive, thanks for listening. Doesn't mean I don't appreciate you!
negative, all taken care of .... Other then the dropped call and the total half hour wait #love #jetblue
positive, thank you for incredible customer svc from gate to flight. Mint experience is magic.
positive,Thanks . Next up we will see how the slog from JFK to the city goes!
neutral, Social Media Takes Flight with Fly #LikeAGirl - What brand lesson can we learn?  #SMM #Brand  https://t.co/nTGl2WnQVM
neutral, Lekvhg want to see what the cost would be to change to the 430 flight
negative," you stood me up last night, but I'm giving you a second chance. I'm just a boy, tweeting an airline, asking them to fly him home."
negative, waited for 15 min then got disconnect
positive, and a HUGE thanks to the crew on flight 1348 who flew in to DCA from SJU Monday night in the snow so we could have a plane!!!
negative, is I can't make changes on the website am I still charged 25 dollars for using phone
positive," planning on it!  Btw, excellent service and crew from DCA through SJU into SXM!!!!!"
positive," why yes, yes it does!!!!  Great trip down!! Thanks for the lift!!!!"
negative, your agents at IAD have compounded this problem by not making any announcements #jetbluemess
negative," just a heads up, this page no longer exists http://t.co/NsJWVTTjGo"
neutral, deal!
neutral, @drwinston001 I think we'll need a selfie as proof...
negative, @philpete wonder if that's the pilot tweeting you back? Is it legal to tweet and fly? What if the plane in front stops suddenly?
positive," gorgeous day, hope the flight back tomorrow AM is just as pleasant! Thanks"
negative, they say they have no update. I don't work I don't get paid.  Jet blue has my money but no flight. Argh!
negative, no news here at the gate. What are my options?
positive, it's okay...I'm actually a tea kinda guy anyway. Thanks!
negative, well I'm glad I got up at 5 am so I can sit in an airport.  No place else I'd rather be (not)
negative,  no ... I am guessing I have to call someone
negative, why 730 and not 645 as scheduled?
negative, #1408 IAD to JFK still hasn't boarded. What's today's excuse and how am I gonna get to work?
negative, why is t that every time I fly jfk even more speed doesn't work waiting for 10 min #nogood
neutral, can I change my flight if I already printed my boarding pass?
positive, its always a pleasure ☺️
positive, this is lovely!
neutral, Dumps Amex - Nassau News Live http://t.co/DZg99JFIiK
neutral," @_justdippin_ drops a new video off the upcoming project #TheTakeover, produced by YpOnTheBeat https://t.co/IKQBdZA7TN RT"
neutral, to End Partnership with American Express - http://t.co/WhuFmI2Ytd http://t.co/fbTEMFwRsP
neutral, marks 15th birthday with 'Blumanity' paint job - @Dallas_News (blog) http://t.co/lFGR0Nifut
neutral,'s CEO Battles to Appease Passengers and Wall Street - http://t.co/E5NaxBUe4s http://t.co/E1Mex0t6Q5
neutral," Change in the Air for Travelers, Investors - @BloombergNews http://t.co/6redD3vC73"
positive, Finally taking off! LAS-FLL-SJU #letsgo
neutral, Anywhere warm cause its freezing in NYC
negative," Clients got ZERO, in 32 years career never thought this was possible.2 suitcases worth thousands of $$ in Italian clothing robbed."
neutral,", flights 1970, 1366, and 1552 will fly over after 1 am on your way into @BostonLogan - mind taking ocean approach so we can sleep?"
negative, not to mention the fact that we paid extra just to fly jetblue thinking it was the most reliable..
negative, We even went to the airport and were on the phone for hrs and no help at all. Everyone said different things.
negative, People kept saying it was due to weather but there were flights going directly to boston even after our flight.
negative, I understand but everyone said different things and there was a flight out Late Flightr that night but only one of us got to take it
negative," disappointed that my flight back to boston from PR was Cancelled Flightled,rebooked 4 the next day,delayed that one too, and no compensation"
positive," great trip today!  Thanks to the crew flying us home, they were fantastic! http://t.co/sk6W9XQaQB"
neutral, Celebrates 15-Year Anniversary With New Livery - Digital Journal http://t.co/U5HXri6Crx
positive, awe you guys are great can't wait to travel with you again soon!!!
positive, yes! Announced we will take off. You're on it! Thank you!
positive," Also, thanks for your prompt replies. I'm really impressed--and you're not just brushing me off. Much appreciated!"
neutral," What about if I booked it through Orbitz? My email is correct, but there's a middle party."
neutral, it was at JFK airport right now
neutral, That's pretty nice. Are flight credits automatically given after the flight? I also wish there were a lounge I could sleep in.
positive,"'s #ValentinesDay email was on point &amp; so clever! Thanks for being amazing, #JetBlue! #loveisintheair http://t.co/DoCmvoTWTI"
negative," She claimed that she did, but I was not happy with the way I was treated."
negative," ripped my suitcase. I then was yelled at with attitude from Geraldine, your employee at the baggage center.Worst airline= #jetblue"
negative," shout out to the crew on flight 89 headed back to the big apple, they kept my glass half full the whole flight! #jetbluejfk"
negative," That makes sense. It sucks, though, because now I'll be stuck in the airport for 5+ hours and Late Flight to my meeting."
positive, thank you for help and quick response
neutral,'s new CEO seeks the right balance to please passengers and Wall ... - Daily Journal http://t.co/bTb4awQtln
neutral, flight 705. EWR to FLL
neutral, @KleinErin Hi! Know a pastor or homeschool mom who might like SpiritED? Have 'em contact me on Prefundia:http://t.co/jRbZLHRW7y
neutral, don't know if u define that as a #ControllableIrregularity
negative, the gate agent said our original plane got de-icing fluid in the engine that created a short so they took the plane out of service
positive," big shoutout to the crews on 2017 Bos&gt;jfk &amp; 486 jfk&gt;roc, &amp; gate crews at c19 Bos &amp; 6 jfk. Long day of delays made better by them!"
negative, 6 hour delay. Supposed to land at 9pm now it's 3am. Still not boarding. #EpicFail
positive,@Jetblue first airline to use #applepay in flight #airlines
negative, I hope your system wasn't hacked cause someone else's passport info was on my reservation &amp; I couldn't get my boarding pass
positive, Thanks for having us hang out at Tampa Airport forever today!!! It's really been an awesome experience
neutral,'s new CEO seeks the right balance to please passengers and Wall ... - Alaska Highway News http://t.co/tynchOeLac
negative," honestly I’m glad you didn’t Cancelled Flight the flight, just that I’ll be driving home at 3-4 am now. :/"
negative, bag just delivered and items have been stolen.  At first look - my Kate spade bag and bottle of spiced rum!  Wtf!!
negative," I'm disappointed my flight was Cancelled Flighted, mostly because I was excited to listen to the song ""I'm Blue"" while flying on JetBlue."
positive, @Leopolds_IC  No but my friend in the picture - Phillip Heller (JFK IFC) did and he said it was delicious!
negative," flight delayed 3x(!) and still not taking off on time, &amp; greeting me at my seat (yes it's gum &amp; garbage): http://t.co/n9hmcrJChb"
positive, Awesome thanks! Thanks for the quick response. You guys ROCK! :)
positive, app just reminded me I will be flying to #FLL in 2 weeks. #ChillyCVZ #ThankGoodness @mypompanobeach #family #friends #sunshine
neutral, Sure! Email screenshot below. Link: https://t.co/soiQrN19aj http://t.co/IbVvTzLS4E
positive, I just wanted to say flight attendant fitz was the best tonight on flight #1326 bwi/Bos. Great guy and made the flight fantastic!
negative, bag is supposedly here in Boston
neutral, Received an invitation to participate in e-rewards. Is this legit from JetBlue? Just double checking bc the site looked different.
negative, I don't know- no one would tell me where they were coming from - I would guess so as that's where we had all the changes to flights
negative, I get Sunday due to weather and ok Monday they're busy but this is crazy
neutral, I have the emails that they are on their way
negative, supervisor humiliated us and was uncompromising. We were completely blindsided!
negative, offered to pay for tix at the airport BC we were never told that our reservation didn't go through. Was told I could pay $2275 pp.
negative, right now completely pissed off
negative," I've had no shampoo, no winter coat no deodorant no flatiron and the rest if my stuff since sat"
negative, my SIL bought tix for us to NYC. We were told at the gate that her cc was declined. Supervisor accused us of illegal activity.
negative, dispatcher keeps yelling and hung up on me!
negative, now when I call it's still at the warehouse and might be going out tonight
negative, they couldn't do it sun then it was supposed to be mon after 6pm then today from 11 to 3 then from 6 to 8
negative, flight from DCA to BOS has no heat #OhNo #BundleUp #Leastthebeverageswillbecold
neutral, yep it's for tomorrow.
negative,“: @Analystdoc Unfortunately that's not an available option with our current system. Sorry guys. That's a certain #fail Fix it plz.
negative," received horrible customer service at LAX on 2/11. Reservation Cancelled Flighted without notification, despite having confirmation number."
negative," flight was Cancelled Flighted. Do I need to file a claim for the $50 credit I'm entitled to per yr bill of rights, or will it just be issued?"
negative," Why not just take her info in the beginning and if cut off, call back? We do that in my medical practice. We are frequent flyers :("
positive, is definitely my new favorite airline.
positive, I will try that. Thanks! If all else fails I will just do the old fashioned method tomorrow morning.
neutral, all up to date. Can't update via Google play.
negative, Are there issues with the mobile boarding passes? My app keeps crashing when I try accessing. Thanks!
neutral, becomes first #airline to accept #Apple Pay - Future #Travel Experience http://t.co/czOr4nyh9n
negative," well, your new baggage fees, fare structures and reduced legroom has turned you into every other hated carrier in the US. Congrats"
positive, Thank you for your excellent customer service - resolved issue quickly.
negative," yes, well they are operating outside of your terminal and targeting vulnerable passengers. No better than thieves."
negative, that's not an option for us. So how can we help each other fix this? I would've made the change earlier if given accurate info.
negative," well, now saying our flight is going to be Cancelled Flighted &amp; that by not changing earlier, we missed our chance to get out tomorrow. 1/2"
negative, tell your employees that!
negative," even @Citi responded quicker via Twitter when they #fail.... Still on hold, hoping no one books the flight.....  #fail"
negative, ah yes. Put the bags on the floor instead of the overhead bin so no one trips. #safetyfirst #sarcasm
negative, where exactly can I leave a note
neutral, Accepting #Apple Pay - Mobile Enterprise http://t.co/Ci5cfrlqBe
negative," Guys, really bad  #fail . Someone better call my wife back to get this handled. 203-382-3312 while she waits on hold...."
negative, #fail My wife on the phone asking to switch flight times. In mid switch gets disconnected. Now Cancelled Flightled! No new time! No call back
positive, That's great! Thank you.
negative, they tried to have us towed. Do you think I'll be flying out of your terminal again? Risk of $75 fine from corrupt police official
negative, ticket issued whilst delivering your customers.
negative," understand that, but this policy of targeting your passengers is not good for business and should be addressed with security"
negative,Always been a  fan but maybe next time I'll fly @VirginAmerica for real customer service.
positive, I agree!!!  If only there was a frequent tweeter discount so I could fly to see more friends! 😀@Tinman2IronMan @meggersrocks
negative, understood ... but could I go and put myself on the standby list 5 hours prior to my flight?
negative, the whole plane. Hoping for better luck on the return flight Sunday.
negative," so I'm penalized for packing lightly, having 1 bag and paying extra for a seat?"
negative," dropping passengers with small baby and 3 infants at your San Juan terminal. As unloading baby, officer writes me ticket for $75"
negative, the TV. Wifi was spotty. It's just a nice feature for a X country flight. Still won't keep us away #lovejetblue
negative, so technically I could drive to JFK now and put in. Request for tomorrow's flight?
negative, why did I pay for extra space to be forced to put my backpack under my seat? Its my only bag. Flight 135. Unprofessional.
negative, we were on b6 619 this morning from Boston to beautiful San Diego. We really were bummed the satellite was broken. :(
neutral, knew that ... has to be done at the Gate correct? If so what time does gate open
neutral," Flight 152 (N559JB) ""Here's Looking at Blue Kid"" departs @MCO enroute to @BostonLogan http://t.co/qeaDA92MW6"
neutral,".  Punta Cana, to enjoy weather n see my wifes family"
positive, And we are glad to see what is going on and fix! @ProfessorpaUL15: please DM me your confirmation # so we can check.
negative, just lost my business   Enjoy your profits
negative, I would drive 2 1/2 hours to jfk to board JetBlue to Vegas instead of closer Hartford airport. Cramming more seats on plane.NO MORE
neutral, - I will for sure. But my TSA-Pre works with other airlines. Why is Jetblue different?
positive, will call. Thank you!
negative," yes, today. Flight is full now. They said no to me at gate :("
neutral, Are departing flights from Boston heavily delayed? Flying out tomorrow morning ...
positive, Still love you guys. But get me to Vegas already! ☀️🌴✈️🍸🎲
positive, Gary who is serving us at FLL airport counter is really TRUE BLUE! Makes me feel at home even when a JetBlue flight is delayedl
neutral,@jetblue is there no way to switch to earlier flight to JFK even if I checked a bag?
negative, this is not a flight delay this is horrible planning on Jet Blue!!! #jetblue
negative, insane the craziness I've seen with Jet Blue today at Newark Delayed 3 hours and now we are waiting for a Pilot!! #jetblue
neutral, Hi! Does my upcoming flight 2168 from West Palm to HPN have Fly-Fi?
positive, tried again. Lovely customer service. Thank you!
positive, so happy you can accommodate peanut/treenut allergies on flight! 1st online cover from air provider
positive, @ProfessorpaUL15 Always happy to help!
positive," we have just landed, thank you anyway. Btw, flight staff on flight 654 were wonderful despite their full day and heavy load."
negative," we are delayed, until he arrives"
negative, @EllaHenderson the highlight of being delayed #freeconcert
negative, whose performing at T5
neutral,     Is it only $50 for my 2nd bag?  1st bag too full..
negative," flight 894, first officer not even at the airport wow!!!!!! Unreal, staff waited until we all boarded to announce we are delayed."
positive,'s CEO battles to appease passengers and Wall Street - http://t.co/uy28D1UEgX http://t.co/vJFV7KSGcQ
negative, - why does my TSA-pre work with every airline BUT you? I pay good money for that. Spent 30 mins on phone to fix to zero success.
neutral," That's right! :) Game, set, match."
negative," yes, 3 times. I need some one to call me and help me change a flight. I can't do online. Thanks."
negative, pls send an IT tech 2 baggage office. Poor guy is trying 2 print my claim &amp; can't. I need 2 get home. Upgrade 2 @HP printers MFPs
neutral," Flight 1133 (N353JB) ""Blue La La"" departs @mco enroute to San Juan International Airport http://t.co/SWZm2fX3nu"
positive, this makes me happy. I hope these aren't empty promises.
negative, dropped 3x in past hour
neutral,"seriously, I want to work on the JetBlue social team RT : @vincenzolandino http://t.co/eiGaJyzcW2"
neutral, Call me when you do and we’ll have to hook up!
negative, Ive called you 3 x &amp; waited on hold 10 min each time to be disconnected each time. Enraging! I need to speak to someone! #help
neutral, the USA help line.  i accidentally booked a flight on a thursday instead of a wednesday and want to switch
neutral, If you have well-priced flights to #Oahu - we could be best friends. @vincenzolandino
positive, we don't need anybody else!
negative,@jetblue any idea where the plane for flight 672 is coming from? I thought flight 305 from JFK but that wouldn't explain delay.
neutral," It's for me, I spoke with a rep on the phone who suggested I ""Voice a concern"" via ""Email us"" on your site. I did a few moments ago"
negative," pls find my bag, I need 2 get home! Very frustrating. Hope my bag is somewhere in @NY_NJairports. Leaving the #jfk w/o my luggage."
negative," tried calling multiple times, i just wait and when it finally connects i get hung up on"
neutral, Airways Sees Significant Drop in Short Interest (JBLU) - Mideast Time http://t.co/SSBaUJtOuW
neutral, No not yet. I will notify them. I'm new at this! 😊
neutral," don't worry, I'm gonna share with my row! 😁"
positive,First base already? I like your style 
negative," Hold for 15 min, a couple of rings, then ""mailbox has not been set up yet."" Customer service forwarding to their cell phones? C'mon"
neutral, Does your home airport not count in the badge system? My TB account says 2 flights but I've taken 3 this year.
neutral, is bag check cut off 30 minutes before the original departure time or the estimated time shown online?
neutral," I know where you guys jet! LOL, but if you love me so much, help a brother out :) Hot weather, great nightlife, 2-3 hour flight"
neutral, Airways Adds New Charter #Flight to Cuba - #Travel Wires (blog) http://t.co/Swb1gR57Cc
neutral,"Aww, is it?  I guess now I need to book a flight to somewhere warm ASAP! Any suggestions?"
positive, love traveling with Jetblue. Cant wait to go to Paris oui oui!!! NYC was awesomeee!
negative," 
But if customer service ment anything to you.... you would try. Quoting policy is never effective customer service."
neutral, thank you. Is there a possibility it will change?
neutral, are we good?
positive, thanks for the upgrade😉!! so far so good. #KeepItUp http://t.co/BKmfeY7QOL
positive, @CinziannaP thank you! I like the quick response on Twitter!
negative," 
Apparently not."
negative, why are we delayed :( flight 1601
negative," continue button generated a trip to ""plan your trip page""
regardless of how far along I was in Flight Booking Problems process
hint: the end of it"
neutral, marks 15th birthday with @Airbus #A320 painted in 'Blumanity' paint job http://t.co/9vTFM7kNad
